system;name;ref
hexamine;14-cyclohexanedione;-88.62912679
acetic;Acetic acid;-72.82130889
adaman;Adamantane;-69.39938387
ammonia;Ammonia;-37.2172512
anthracene;Anthracene;-112.70065
benzene;Benzene;-51.73717756
CO2;CO2;-27.16437346
cyanamide;Cyanamide;-79.7063129
cytosine;Cytosine;-169.8047619
ethcar;Ethylcarbamate;-86.28213785
formamide;Foramide;-79.21285928
hexdio;Hexamine;-86.16693445
imdazole;Imidazole;-86.83528282
naph;Naphthalene;-81.73569081
oxaca;Oxalic acid (alpha);-96.26434411
oxacb;Oxalic acid (beta);-96.06690904
pyrazine;Pyrazine;-61.2905927
pyrazole;Pyrazole;-77.7176885
succinic;Succinic acid;-130.2721536
triazine;Triazine;-61.70336574
trioxane;Trioxane;-66.36442923
uracil;Uracil;-135.6590055
urea;Urea;-102.5287143